kodetoko,namatoko
K289,KEDOYA DURI RAYA [DOYA]
K292,KEDOYA 3 [KDY3]
K293,KEDOYA RAYA [KDYA]
K294,KEBON JERUK IX [KJIX]
K304,APARTEMEN WESLING [AWSG]
K316,SUKARJO WIRYO P [SWP]
K329,CIKOKOL/F [CKOL]
K360,KEMANGGISAN II/F [KSN2]
K362,KEBON RAYA [KBRA]
K409,SULAIMAN [IMAN]
K427,CIKOKOL 2 [CKL2]
K446,CIKOKOL 4 [CKK4]
K451,JL. KOPI [JKPI]
K457,SASAK [SSAK]
K460,KEDOYA RAYA 2 [AYA2]
K466,JL. ASSIROT [ASRT]
K469,CIKOKOL 3 [CKK3]
K481,KEBON JERUK IX 2 [JIX2]
K504,KBN JERUK RAYA 3 [KJR3]
K505,JELAMBAR UTAMA 2 [JU2]
K508,KEDOYA DURI 2 [KOR2]
K509,RAWA KEPA 2 [RWK2]
K511,SYAHDAN [SYDN]
K525,KELAPA DUA KBN JERUK/F [KDKJ]
K563,H KELIK [HKLK]
K577,LAPANGAN BOLA [LPBA]
K583,ANGGREK ROSLIANA [ROSA]
K586,TSS DURI SELATAN [TSDS]
K592,TAWAKAL 3 [TWL3]
K691,PALMERAH BARAT [PMR]
K697,KEBAYORAN LAMA 5 [YOR5]
K734,MASJID AS SURUR[MASR]
K791,KARBELA/F [BELA]
K792,KARBELA 2 [BEL2]
K793,MENTENG ATAS [MTAS]
K796,KPDK/F [KPDK]
K797,SAMPOERNA S SQUARE [SMSQ]
K798,BUKIT DURI [BDRI]
K799,BUKIT DURI SELATAN [BDRS]
K802,BARKAH [BKAH]
K803,RASAMALA/F [MALA]
K804,PSPT TEBET [PSPT]
K805,TEBET RAYA [TBET]
K841,APART LATUMENTEN [ALTN]
K847,A MEDIT TW HELICONIA [AMTH]
K849,LOKASARI [LOSI]
K852,ROYAL MEDITERANIA [RYMA]
K856,GAJAH MADA 2 [GMA2]
K864,SOEPOMO/F [SPOM]
K874,SAWO KECIK [SWOK]
K881,MANGGA BESAR RAYA 2 [MBS2]
K883,RAWA BELONG 3 [RWB3]
K887,MEDIT 1 BOUGENVILLE [M1BE]
K895,APT MEDIT AZALEA [AMAE]
K900,KEMANGGISAN 5 [KGS5]
K904,GURU MUGNI [GUMU]
K905,PERNIAGAAN [PRGA]
K913,JELAMBAR BARAT 2 [JBT2]
K919,RAWA SIMPRUG [RWSG]
K930,KARBELA 3 [BEL3]
K934,TAMAN DAAN MOGOT [TDMO]
K940,JL. ANGGREK [AGRE]
K942,MELAYU KECIL [MYUK]
K943,SENI BUDAYA JLMBAR 2 [SNBA]
K950,SAWAH LIO 2 [SLO2]
K951,JELAMBAR HADIAH [JRHA]
K958,POS PENGUMBEN 2 [PPE2]
K975,BANDENGAN SELATAN [BDGS]
KA03,H. KELIK 2 [KLI2]
KA16,KEBAYORAN LAMA 6 [KBL6]
KA24,POS PENGUMBEN 3 [PPE3]
KA29,APART SEMANGGI/F [APSI]
KA32,PTB ANGKE 3 [PTB3]
