kodetoko,namatoko
KE28,ALFAMART ISA [ISA]
KE29,ALFAMART LONTAR [LONT]
KE30,ALFAMART MENTENG ATS SLATAN 3 [MESA]
KE31,ALFAMART PEJOMPONGAN 3 [PEPO]
KE33,ALFAMART MERPATI RAYA 3 [MTR3]
KE34,ALFAMART DWI WARNA 3 [DIWA]
KE35,ALFAMART LAUTZE 75 [LA75]
KE36,ALFAMART BRIGJEN KATAMSO 22 [BIKA]
KE37,ALFAMART KALIBARU TIMUR RAYA [KITA]
KE39,ALFAMART ANGGREK CENDRAWSH 50 [ANCE]
KE40,ALFAMART KEPU SELATAN [KESE]
KE41,ALFAMART PTB ANGKE JAYA 6 [PBAJ]
KE42,ALFAMART KEMANDORAN VIII [KEVI]
KE44,ALFAMART KRAMAT LONTAR [MALO]
KE45,ALFAMART ANGGREK CAKRA 19 [ANCA]
KE46,ALFAMART ANDONG 33 [AN33]
KE49,ALFAMART BUNGUR RAYA KMY [BUAK]
KE50,ALFAMART KH MOH MANSYUR /F [KHMO]
KE51,ALFAMART PADEMANGAN 18 [PA18]
KE52,ALFAMART BUKIT DURI TANJAKAN [BIIT]
KE53,ALFAMART MANGGA BESAR TMNSARI [MBTA]
KE54,ALFAMART LATUMENTEN ANGKE [LAAN]
KE56,ALFAMART KOTA BAMBU [KBBU]
KE57,ALFAMART ASEM BARIS/F [AMBS]
KE59,ALFAMART KEBAYORAN LAMA 2/F [KLM2]
KE61,ALFAMART MUWARDI RAYA [MUYA]
KE62,ALFAMART JEMBATAN BESI 44 [JABI]
KE63,ALFAMART JATIBARU 64 [JIBU]
KE64,ALFAMART PRAMUKA 391 [P391]
KE65,ALFAMART GUNUNG SAHARI RAYA [GUSY]
KE66,ALFAMART PEJAGALAN I [PELA]
KE68,ALFAMART SAMANHUDI RAYA [SAAY]
KE69,ALFAMART KEMANDORAN PULO 1 [KEP1]
KE71,ALFAMART PALMERAH [PLMH]
KE72,ALFAMART PALMERAH UTARA [PLRU]
KE74,ALFAMART BUKIT DURI UTARA [BIDU]
KE75,ALFAMART JELAMBAR HADIAH 2 [JEH2]
KE76,ALFAMART JEMBATAN GAMBANG 25 [JG25]
KE77,ALFAMART BARKAH 2 [BAR2]
KE78,ALFAMART SALEMBA TENGAH 21 [ST21]
KE79,ALFAMART JEMBATAN BESI VIII [JESI]
KE80,ALFAMART ASEM BARIS 9 [ABA9]
KE81,ALFAMART JELAMBAR BARU VIII [JEBU]
KE86,ALFAMART JL BENDUNGAN JTLUHUR [JLBJ]
KE89,ALFAMART KSB LOKOMART SENEN/F [KLOS]
KE91,ALFAMART JL H 28 KEBON BARU [JHKB]
KE92,ALFAMART RAWA KEPA 39 [RK39]
KE94,ALFAMART BLORA MENTENG [BOME]
KE95,ALFAMART KEBON KACANG 30 [KK30]
KE96,ALFAMART KETAPANG UTARA 139 [KU13]
KE97,ALFAMART PECENONGAN 46 [PN46]
KE98,ALFAMART MENTENG PULO [MEPU]
KF03,ALFAMART KS TUBUN 107 [KST7]
